기업명,종목코드,사업연도,보고서구분,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,부채비율,영업이익률,순이익률,매출성장률,영업이익성장률
CJ,1040,2022,사업보고서,40924879773000,2154201790000,686845690000,48240408307000,30506774819000,17733633488000,1.720277733248707,0.05263795036048523,0.016783083879775826,0.0,0.0
CJ,1040,2023,사업보고서,41352688159000,2039057889000,524667990000,47203762893000,29310944319000,17892818574000,1.6381401397313469,0.04930895619554105,0.012687639265013808,0.010453503794585206,-0.05345084269008982
CJ,1040,2024,사업보고서,43646656090000,2547483645000,151195776000,47496993224000,29750607288000,17746385936000,1.676431888458396,0.05836606680124713,0.003464086130406697,0.055473248127902997,0.2493434633429379
CJ대한통운,120,2022,사업보고서,12130712862374,411786887242,196821784424,9693299818264,5658991479602,4034308338662,1.402716650428072,0.03394581109237571,0.01622507981657738,0.0,0.0
CJ대한통운,120,2023,사업보고서,11767893663269,480234863157,242876054885,9357587266747,5314491023876,4043096242871,1.3144606768257843,0.04080890573101896,0.02063887232794144,-0.029909140808234036,0.16622184444346888
CJ대한통운,120,2024,사업보고서,12116761147160,530663067133,268320297629,9743855522383,5518255667581,4225599854802,1.3059106061143053,0.043795785085470634,0.022144556154091603,0.029645703290123837,0.10500737835752227
CJ제일제당,97950,2022,사업보고서,30079513121000,1664708210000,802674084000,30013241845000,18484219204000,11529022641000,1.6032772056727198,0.055343588950506804,0.026685075678289934,0.0,0.0
CJ제일제당,97950,2023,사업보고서,29023472909000,1291582413000,559462096000,29606279551000,17826337301000,11779942250000,1.5132788364051615,0.04450130475596834,0.01927619405693225,-0.03510828808138944,-0.22413885794436006
CJ제일제당,97950,2024,사업보고서,29359081823000,1553017638000,361835555000,30149997467000,17907211781000,12242785686000,1.4626746101973707,0.05289735037910351,0.012324484709073458,0.011563361664273186,0.20241466775066708
DB손해보험,5830,2023,사업보고서,0,2234997557489,1742379224712,60040428590956,49736681327747,10303747263209,4.827047874644491,0.0,0.0,0.0,0.0
DB손해보험,5830,2024,사업보고서,0,2424925603957,1853216681744,66506135383633,57114913448969,9391221934664,6.0817339688408145,0.0,0.0,0.0,0.08497908457733727
DB하이텍,990,2022,사업보고서,1675287533666,768746685740,558836662217,2122700474808,484416396415,1638284078393,0.2956852250497155,0.4588744739583695,0.3335765658054581,0.0,0.0
DB하이텍,990,2023,사업보고서,1154223638940,265437456373,264149250979,2043378694132,303296256385,1740082437747,0.17429993533967147,0.2299705597927008,0.2288544802475071,-0.31102953030741276,-0.6547140152968746
DB하이텍,990,2024,사업보고서,1131167709804,190838683363,229385888355,2396851168578,396162364261,2000688804317,0.1980129860307,0.16870945104688945,0.20278680726728507,-0.019975270266664902,-0.2810408675148385
DL,210,2022,사업보고서,5174950425108,287459456441,101846515303,12018993889708,7401228917375,4617764972333,1.6027729782089215,0.05554825318640628,0.01968067458363613,0.0,0.0
DL,210,2023,사업보고서,5017815821242,150696391721,-120978168525,12119563559885,7586162395568,4533401164317,1.6733931369850272,0.030032268438999803,-0.024109726788468636,-0.03036446554224148,-0.47576470926803593
DL,210,2024,사업보고서,5615368498981,412518392958,94839002886,12535315407584,7749224680441,4786090727143,1.6191136194918745,0.07346239040819105,0.01688918597296154,0.11908621181538215,1.7374138706767344
GS,78930,2022,사업보고서,28777048000000,5005127000000,2482704000000,33922242000000,17434432000000,16487810000000,1.0574134466615033,0.17392774269271816,0.08627375539005946,0.0,0.0
GS,78930,2023,사업보고서,25978494000000,3721802000000,1578711000000,34448425000000,16823230000000,17625195000000,0.9544989431322604,0.1432647327439381,0.060769919919145425,-0.09724951635066947,-0.2564020853017316
GS,78930,2024,사업보고서,25297467000000,3060163000000,863517000000,35063398000000,16593042000000,18470356000000,0.89836070295559,0.12096717034950574,0.03413452421936157,-0.026215030016751517,-0.1777738310635547
GS건설,6360,2022,사업보고서,12299196214752,554834830515,441211560543,16946616696898,11590413888307,5356202808591,2.16392364189734,0.045111470768269844,0.035873202836929984,0.0,0.0
GS건설,6360,2023,사업보고서,13436684904471,-387945401071,-419500544880,17707298538013,12822138677201,4885159860812,2.6247121982758888,-0.028872106760642488,-0.03122053898431547,0.09248479899480455,-1.6992088090628834
GS건설,6360,2024,사업보고서,12863811468386,285954335787,263924031753,17803293924556,12716169965113,5087123959443,2.4996776305221626,0.02222936308494252,0.020516783256783386,-0.04263502792228002,-1.7370994346048865
HD현대,267250,2022,사업보고서,60849668073000,3387008264000,2234955013000,65570861076000,42307197037000,23263664039000,1.8185955989595952,0.05566190204910701,0.03672912414770733,0.0,0.0
HD현대,267250,2023,사업보고서,61331302785000,2031563587000,785832206000,67982820888000,44750983788000,23231837100000,1.9262783048698289,0.0331244159955602,0.012812905813443663,0.007915157588406219,-0.4001893622188103
HD현대,267250,2024,사업보고서,67765626088000,2983162778000,1930179481000,73866670219000,47481568074000,26385102145000,1.7995597596349575,0.04402176959342313,0.02848316458396594,0.10491091841886746,0.4684072884005672
HMM,11200,2022,사업보고서,18582770000000,9951555000000,10085439000000,25973455000000,5285543000000,20687912000000,0.2554894375034078,0.5355259199785608,0.5427306585616676,0.0,0.0
HMM,11200,2023,사업보고서,8400969000000,584770000000,968692000000,25713363000000,4272550000000,21440813000000,0.1992718279852541,0.06960744647432933,0.11530717468425368,-0.5479162148592487,-0.9412383290852535
HMM,11200,2024,사업보고서,11700224000000,3512847000000,3782129000000,33848562000000,5993018000000,27855544000000,0.21514632778307974,0.30023758519495014,0.32325270011924556,0.3927231489605545,5.007228482993313
IBK기업은행,24110,2023,사업보고서,0,3432281000000,2675188000000,448427279000000,416610518000000,31816761000000,13.09405812866998,0.0,0.0,0.0,0.0
IBK기업은행,24110,2024,사업보고서,0,3594087000000,2654338000000,472219838000000,437988747000000,34231091000000,12.795056605119598,0.0,0.0,0.0,0.0471424105427265
JW중외제약,1060,2022,사업보고서,684351099249,62960870729,29852560173,627972755001,402213719428,225759035573,1.781606297205955,0.09200083231851695,0.04362170266952139,0.0,0.0
JW중외제약,1060,2023,사업보고서,748526707817,100303770111,38430259560,645038796101,379598339300,265440456801,1.4300696430182225,0.13400159147764476,0.05134120019855783,0.09377585370787833,0.5931128167323729
JW중외제약,1060,2024,사업보고서,719375756340,82488136816,65040120873,604598517283,275111775158,329486742125,0.8349706983160757,0.11466627293040643,0.09041188877966574,-0.03894443734949116,-0.1776167862412802
KB금융,105560,2023,사업보고서,0,6435319000000,4563431000000,715738152000000,656864842000000,58873310000000,11.157260259360312,0.0,0.0,0.0,0.0
KB금융,105560,2024,사업보고서,0,8045261000000,5028606000000,757845532000000,698030351000000,59815181000000,11.669785819088302,0.0,0.0,0.0,0.2501728352549424
KCC,2380,2022,사업보고서,6774793651227,467661528938,28661656966,13118486307658,7567347802320,5551138505338,1.3632064476581163,0.06902963440861415,0.004230631727183161,0.0,0.0
KCC,2380,2023,사업보고서,6288442613717,312530203929,92502625102,13353471078397,7905941668878,5447529409519,1.4512893964488152,0.049699142240286466,0.014709941838416991,-0.07178831748210013,-0.3317170975369378
KCC,2380,2024,사업보고서,6658762417820,471118235184,293294512467,13108550142754,8069234736205,5039315406549,1.6012561400142515,0.07075162104045132,0.044046399925922144,0.058888953410375366,0.5074326553443382
